序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,Max_Close_7,Max_Date_7,天数_7,收益率_7,Max_Close_30,Max_Date_30,天数_30,收益率_30,Max_Close_90,Max_Date_90,天数_90,收益率_90
1,688001,华兴源创,2019/7/31,20190722,80.03,24.26,2019/7/22,2.8,-0.3,-1.32%,128.77,-0.12,0.06,54.72,2019/7/22,0,1.26,75.52,2019/8/7,16,2.11,75.51663208,2019/8/7,16,2.11280429
2,688002,睿创微纳,2019/7/31,20190722,80.48,20,2019/7/22,2.8,-0.3,3.92%,151,-0.13,0.06,49.93,2019/7/22,0,1.50,71.76,2019/8/5,14,2.59,71.76076508,2019/8/5,14,2.588038254
3,688003,天准科技,2019/7/31,20190722,74.03,25.5,2019/7/22,2.8,-0.3,-0.62%,85.88,-0.15,0.08,48.44,2019/7/25,3,0.90,68.33,2019/8/5,14,1.68,68.32619476,2019/8/5,14,1.679458618
4,688004,博汇科技,2020/6/30,20200612,72.07,28.77,2020/6/12,2.5,-3,9.53%,340.74,0.03,-0.11,129.66,2020/6/15,3,3.51,129.66,2020/6/15,3,3.51,129.6558838,2020/6/15,3,3.506634821
5,688005,容百科技,2019/7/31,20190722,79.44,26.62,2019/7/22,2.8,-0.3,-2.28%,86.06,-0.16,0.06,49.26,2019/7/22,0,0.85,66.83,2019/8/5,14,1.51,66.82831573,2019/8/5,14,1.510455137
6,688006,杭可科技,2019/7/31,20190722,79.48,27.43,2019/7/22,2.8,-0.3,-2.28%,99.13,-0.14,0.07,53.99,2019/7/22,0,0.97,72.84,2019/8/7,16,1.66,72.83881378,2019/8/7,16,1.655443448
7,688007,光峰科技,2019/7/31,20190722,78.86,17.5,2019/7/22,2.8,-0.3,5.20%,121.94,-0.11,0.16,41.87,2019/7/25,3,1.39,54.58,2019/8/5,14,2.12,54.57853317,2019/8/5,14,2.118773324
8,688008,澜起科技,2019/7/31,20190722,78.42,24.8,2019/7/22,2.8,-0.3,5.75%,202.1,-0.01,0.02,77.01,2019/7/25,3,2.11,84.57,2019/8/5,14,2.41,84.57178497,2019/8/5,14,2.41015262
9,688009,中国通号,2019/7/31,20190722,77.98,5.85,2019/7/22,2.8,-0.3,-1.92%,109.74,-0.06,0.03,9.54,2019/7/25,3,0.63,11.30,2019/8/5,14,0.93,11.29571819,2019/8/5,14,0.930891999
10,688010,福光股份,2019/7/31,20190722,74.4,25.22,2019/7/22,2.8,-0.3,3.66%,92.98,0.12,0.49,80.45,2019/7/24,2,2.19,88.44,2019/8/15,24,2.51,88.43824768,2019/8/15,24,2.506671201
11,688011,新光光电,2019/7/31,20190722,76.41,38.09,2019/7/22,2.8,-0.3,3.92%,84.22,-0.14,0.09,69.72,2019/7/22,0,0.83,103.13,2019/8/5,14,1.71,103.134407,2019/8/5,14,1.707650487
12,688012,中微公司,2019/7/31,20190722,75.41,29.01,2019/7/22,2.8,-0.3,5.75%,179.32,0.03,0.02,87.11,2019/7/25,3,2.00,99.37,2019/8/5,14,2.43,99.37000275,2019/8/5,14,2.425370657
13,688013,天臣医疗,2020/9/30,20200928,83.28,18.62,2020/9/28,1.7,-2.1,-5.81%,118.64,-0.11,-0.06,40.02,2020/9/28,0,1.15,40.02,2020/9/28,0,1.15,41.7828598,2020/11/20,53,1.243977433
14,688015,交控科技,2019/7/31,20190722,75.93,16.18,2019/7/22,2.8,-0.3,-1.92%,134.24,0.08,0.02,51.65,2019/7/30,8,2.19,59.43,2019/8/5,14,2.67,59.42950439,2019/8/5,14,2.673022521
15,688016,心脉医疗,2019/7/31,20190722,84.51,46.23,2019/7/22,2.8,-0.3,0.11%,242.42,-0.07,0.05,156.58,2019/7/25,3,2.39,182.25,2019/8/5,14,2.94,182.2484589,2019/8/5,14,2.942211959
16,688017,绿的谐波,2020/8/31,20200828,69.35,35.06,2020/8/28,2.4,-2,5.15%,68.08,-0.07,0.10,55.19,2020/9/3,6,0.57,61.05,2020/9/15,18,0.74,80.4688797,2020/11/23,87,1.295176261
17,688018,乐鑫科技,2019/7/31,20190722,76.65,62.6,2019/7/22,2.8,-0.3,5.75%,106.25,0.14,0.10,158.14,2019/7/24,2,1.53,169.64,2019/8/5,14,1.71,182.4372253,2019/9/24,64,1.914332673
18,688019,安集科技,2019/7/31,20190722,86.19,39.19,2019/7/22,2.8,-0.3,12.03%,400.15,-0.09,0.02,142.90,2019/7/25,3,2.65,148.38,2019/8/5,14,2.79,148.3783112,2019/8/5,14,2.786126848
20,688021,奥福环保,2019/11/30,20191106,75.24,26.17,2019/11/6,4.5,-1.4,0.14%,26.9,0.19,-0.13,38.70,2019/11/7,1,0.48,38.70,2019/11/7,1,0.48,43.23340988,2020/1/20,75,0.652021776
21,688022,瀚川智能,2019/7/31,20190722,72.39,25.79,2019/7/22,2.8,-0.3,-1.32%,94.61,0.09,-0.06,66.24,2019/7/30,8,1.57,89.49,2019/8/5,14,2.47,89.48787689,2019/8/5,14,2.46986727
22,688023,安恒信息,2019/11/30,20191105,81.73,56.5,2019/11/5,4.5,-1.4,-3.40%,39.93,0.12,0.29,120.14,2019/11/11,6,1.13,124.93,2019/11/13,8,1.21,188.5991516,2020/1/22,78,2.338038082
23,688025,杰普特,2019/10/31,20191031,68.85,43.86,2019/10/31,3.8,-1.6,-4.41%,33.74,-0.16,0.00,57.77,2019/10/31,0,0.32,57.77,2019/10/31,0,0.32,57.77314377,2019/10/31,0,0.31721714
24,688026,洁特生物,2020/1/31,20200122,70.4,16.49,2020/1/22,5.4,0.1,10.20%,223.59,0.10,1.09,40.97,2020/1/23,1,1.48,85.43,2020/2/3,12,4.18,85.43239594,2020/2/3,12,4.180860881
25,688027,国盾量子,2020/7/31,20200709,81.56,36.18,2020/7/9,2.7,-2.4,6.01%,923.91,-0.09,0.03,434.74,2020/7/14,5,11.02,434.74,2020/7/14,5,11.02,434.7415161,2020/7/14,5,11.01607286
26,688028,沃尔德,2019/7/31,20190722,75.49,26.68,2019/7/22,2.8,-0.3,-0.52%,109.9,0.05,0.00,88.21,2019/7/30,8,2.31,151.59,2019/8/14,23,4.68,151.5941162,2019/8/14,23,4.681938389
27,688029,南微医学,2019/7/31,20190722,65.68,52.45,2019/7/22,2.8,-0.3,0.11%,110.7,0.12,0.04,91.85,2019/7/25,3,0.75,97.85,2019/8/5,14,0.87,113.8083344,2019/10/18,88,1.169844316
28,688030,山石网科,2019/9/30,20190930,64.4,21.06,2019/9/30,3,-1.2,5.06%,112.73,0.09,-0.10,44.31,2019/9/30,0,1.10,59.35,2019/10/23,23,1.82,59.34506989,2019/10/23,23,1.817904553
29,688031,星环科技,2022/10/31,20221018,73,47.34,2022/10/18,2.1,-1.3,21.46%,60.54,-0.04,-0.07,76.00,2022/10/18,0,0.61,84.30,2022/11/16,29,0.78,106.9199982,2022/12/1,44,1.258555094
30,688032,禾迈股份,2021/12/31,20211220,69.38,557.8,2021/12/20,1.5,10.3,-6.03%,29.98,-0.02,0.05,530.51,2021/12/22,2,-0.05,534.67,2022/1/17,28,-0.04,535.0300903,2022/3/3,73,-0.040820921
31,688033,天宜上佳,2019/7/31,20190722,77.7,20.37,2019/7/22,2.8,-0.3,-1.92%,96.76,0.12,-0.07,46.07,2019/7/30,8,1.26,58.15,2019/8/5,14,1.85,58.1529808,2019/8/5,14,1.8548346
32,688035,德邦科技,2022/9/30,20220919,79.4,46.12,2022/9/19,2.8,0.9,-7.45%,64.46,0.05,-0.16,79.69,2022/9/20,1,0.73,84.61,2022/10/14,25,0.83,87.80000305,2022/11/3,45,0.903729468
33,688036,传音控股,2019/9/30,20190930,67.95,35.15,2019/9/30,3,-1.2,5.30%,64.44,-0.13,-0.04,55.89,2019/9/30,0,0.59,55.89,2019/9/30,0,0.59,55.88951874,2019/9/30,0,0.590028983
34,688037,芯源微,2019/12/31,20191216,84.33,26.97,2019/12/16,4.5,-0.5,13.40%,139.15,-0.09,0.24,75.15,2019/12/19,3,1.79,81.03,2020/1/13,28,2.00,158.603714,2020/2/7,53,4.880745791
35,688038,中科通达,2021/7/31,20210713,84.74,8.6,2021/7/13,1,9,-4.32%,263.02,0.01,-0.14,31.27,2021/7/14,1,2.64,31.27,2021/7/14,1,2.64,31.27056313,2021/7/14,1,2.636111991
36,688039,当虹科技,2019/12/31,20191211,85.72,50.48,2019/12/11,4.5,-0.5,9.54%,54.08,-0.03,-0.05,80.24,2019/12/17,6,0.59,110.73,2020/1/7,27,1.19,136.3850861,2020/2/17,68,1.701764779
37,688041,海光信息,2022/8/31,20220812,59.68,36,2022/8/12,2.5,2.3,-3.10%,66.94,-0.05,0.07,60.69,2022/8/16,4,0.69,60.69,2022/8/16,4,0.69,63.34000015,2022/9/22,41,0.759444449
38,688045,必易微,2022/5/31,20220526,71.9,55.15,2022/5/26,2.1,6.4,11.84%,13.51,-0.11,-0.01,68.05,2022/6/1,6,0.23,72.10,2022/6/7,12,0.31,88.15000153,2022/8/5,71,0.598368115
39,688046,药康生物,2022/4/30,20220425,50.3,22.53,2022/4/25,2.1,8,-18.33%,-17.89,-0.10,0.03,18.65,2022/4/29,4,-0.17,24.10,2022/5/17,22,0.07,32.66999817,2022/7/4,70,0.450066497
40,688047,龙芯中科,2022/6/30,20220624,77.56,60.06,2022/6/24,2.5,6.1,12.19%,48.3,0.13,0.03,103.53,2022/6/28,4,0.72,103.53,2022/6/28,4,0.72,107.6399994,2022/8/5,42,0.792207782
41,688048,长光华芯,2022/4/30,20220401,58.5,80.8,2022/4/1,2.1,8,-17.40%,-1.49,-0.07,-0.06,79.24,2022/4/1,0,-0.02,79.24,2022/4/1,0,-0.02,113.4819107,2022/6/28,88,0.404479093
42,688049,炬芯科技,2021/11/30,20211129,79.66,42.98,2021/11/29,2.3,12.9,20.50%,93.11,-0.03,-0.12,83.00,2021/11/29,0,0.93,83.00,2021/11/29,0,0.93,83,2021/11/29,0,0.931130758
43,688050,爱博医疗,2020/7/31,20200729,78.23,33.55,2020/7/29,2.7,-2.4,16.19%,616.84,0.00,0.03,292.41,2020/8/3,5,7.72,292.41,2020/8/3,5,7.72,292.4091187,2020/8/3,5,7.715622016
44,688051,佳华科技,2020/3/31,20200320,66.56,50.81,2020/3/20,4.3,-1.5,-12.05%,130.29,-0.08,0.03,115.49,2020/3/20,0,1.27,115.49,2020/3/20,0,1.27,115.5707474,2020/6/16,88,1.274566963
45,688052,纳芯微,2022/4/30,20220422,58.37,230,2022/4/22,2.1,8,-17.40%,12.86,-0.09,-0.01,263.39,2022/4/27,5,0.15,318.34,2022/5/17,25,0.38,451.8999939,2022/7/19,88,0.964782582
46,688053,思科瑞,2022/7/31,20220708,55.88,55.53,2022/7/8,2.7,4.2,4.56%,-3.12,-0.07,0.09,57.92,2022/7/14,6,0.04,72.40,2022/8/5,28,0.30,75.02999878,2022/8/11,34,0.351161512
47,688055,龙腾光电,2020/8/31,20200817,80.03,1.22,2020/8/17,2.4,-2,4.24%,707.38,0.35,0.02,13.44,2020/8/19,2,10.02,13.44,2020/8/19,2,10.02,13.4408741,2020/8/19,2,10.01710992
48,688056,莱伯泰科,2020/9/30,20200902,73.79,24.8,2020/9/2,1.7,-2.1,-9.75%,91.13,-0.06,-0.05,46.71,2020/9/2,0,0.88,46.71,2020/9/2,0,0.88,46.71141815,2020/9/2,0,0.883524925
49,688057,金达莱,2020/11/30,20201111,64.93,25.84,2020/11/11,-0.5,-1.5,-0.46%,70.12,-0.12,0.07,40.07,2020/11/11,0,0.55,40.07,2020/11/11,0,0.55,40.06671524,2020/11/11,0,0.550569475
50,688058,宝兰德,2019/11/30,20191101,74.69,79.3,2019/11/1,4.5,-1.4,-3.40%,26.36,-0.06,-0.04,69.37,2019/11/1,0,-0.13,69.37,2019/11/1,0,-0.13,95.53526306,2020/1/22,82,0.204732195
51,688059,华锐精密,2021/2/28,20210208,86.59,37.09,2021/2/8,-0.2,1.7,2.68%,132.41,-0.05,-0.22,84.66,2021/2/8,0,1.28,121.67,2021/3/8,28,2.28,139.1901703,2021/5/6,87,2.752768139
52,688060,云涌科技,2020/7/31,20200710,74.76,44.47,2020/7/10,2.7,-2.4,10.34%,468.05,-0.09,0.06,249.62,2020/7/10,0,4.61,249.62,2020/7/10,0,4.61,249.6205139,2020/7/10,0,4.613233954
53,688061,灿瑞科技,2022/10/31,20221018,47.49,112.69,2022/10/18,2.1,-1.3,6.74%,-16.65,0.00,0.03,96.80,2022/10/20,2,-0.14,112.20,2022/11/15,28,0.00,112.1999969,2022/11/15,28,-0.004348239
54,688062,迈威生物,2022/1/31,20220118,53.61,34.8,2022/1/18,0.9,9.1,-11.99%,-29.6,0.30,-0.14,31.90,2022/1/19,1,-0.08,31.90,2022/1/19,1,-0.08,31.89999962,2022/1/19,1,-0.083333344
55,688063,派能科技,2020/12/31,20201230,75.95,56,2020/12/30,0.2,-0.4,2.38%,320.16,0.10,0.16,299.89,2021/1/4,5,4.36,342.72,2021/1/7,8,5.12,342.7226257,2021/1/7,8,5.120046888
56,688065,凯赛生物,2020/8/31,20200812,58.27,133.45,2020/8/12,2.4,-2,6.66%,17.65,-0.12,0.01,110.62,2020/8/12,0,-0.17,110.62,2020/8/12,0,-0.17,110.6233749,2020/8/12,0,-0.171050019
57,688066,航天宏图,2019/7/31,20190722,76.53,17.25,2019/7/22,2.8,-0.3,3.92%,175.94,0.04,0.04,64.74,2019/7/30,8,2.75,74.79,2019/8/5,14,3.34,74.79049683,2019/8/5,14,3.335680975
58,688067,爱威科技,2021/6/30,20210616,71.12,14.71,2021/6/16,1.1,8.8,-1.05%,160.37,-0.18,-0.02,37.72,2021/6/16,0,1.56,37.72,2021/6/16,0,1.56,37.72261047,2021/6/16,0,1.564419475
59,688068,热景生物,2019/9/30,20190930,74.3,29.46,2019/9/30,3,-1.2,2.52%,140.63,-0.04,-0.03,44.58,2019/9/30,0,0.51,44.58,2019/9/30,0,0.51,44.58369446,2019/9/30,0,0.513363695
60,688069,德林海,2020/7/31,20200722,68.7,67.2,2020/7/22,2.7,-2.4,9.95%,51.34,-0.05,0.02,70.30,2020/7/22,0,0.05,93.21,2020/8/18,27,0.39,93.83495331,2020/8/21,30,0.396353472
61,688070,纵横股份,2021/2/28,20210210,82.84,23.16,2021/2/10,-0.2,1.7,-1.50%,137.52,-0.09,0.01,54.66,2021/2/10,0,1.36,54.66,2021/2/10,0,1.36,54.65674973,2021/2/10,0,1.359963287
62,688071,华依科技,2021/7/31,20210729,86.37,13.73,2021/7/29,1,9,4.05%,213.18,-0.09,-0.03,43.00,2021/7/29,0,2.13,43.45,2021/8/12,14,2.16,47.11999893,2021/8/30,32,2.431900869
63,688072,拓荆科技,2022/4/30,20220420,78.57,71.88,2022/4/20,2.1,8,-17.40%,28.41,0.10,-0.03,101.59,2022/4/21,1,0.41,141.00,2022/5/18,28,0.96,200,2022/7/15,86,1.782415136
64,688073,毕得医药,2022/10/31,20221011,41.06,88,2022/10/11,2.1,-1.3,4.03%,-23.4,0.06,0.09,81.79,2022/10/14,3,-0.07,97.59,2022/11/3,23,0.11,97.68000031,2022/11/18,38,0.110000003
65,688075,安旭生物,2021/11/30,20211118,67.15,78.28,2021/11/18,2.3,12.9,15.02%,13.44,-0.07,0.00,72.32,2021/11/24,6,-0.08,84.99,2021/12/17,29,0.09,198.1441803,2022/1/14,57,1.53122356
66,688076,诺泰生物,2021/5/31,20210520,72.03,15.57,2021/5/20,1.3,9,11.50%,397.75,0.01,0.00,78.29,2021/5/25,5,4.03,91.67,2021/5/31,11,4.89,91.6737442,2021/5/31,11,4.887844843
67,688077,大地熊,2020/7/31,20200722,74.46,28.07,2020/7/22,2.7,-2.4,12.57%,117.35,0.39,-0.16,83.05,2020/7/23,1,1.96,83.05,2020/7/23,1,1.96,83.05363464,2020/7/23,1,1.958804227
68,688078,龙软科技,2019/12/31,20191230,77.36,21.59,2019/12/30,4.5,-0.5,9.54%,126.49,0.04,-0.03,50.07,2019/12/31,1,1.32,56.69,2020/1/22,23,1.63,57.50186157,2020/2/18,50,1.663356256
69,688079,美迪凯,2021/3/31,20210302,76.37,10.19,2021/3/2,0.4,4.4,0.65%,154.66,-0.15,-0.08,25.63,2021/3/2,0,1.52,25.63,2021/3/2,0,1.52,25.62899971,2021/3/2,0,1.515112827
70,688080,映翰通,2020/2/29,20200212,82.12,27.63,2020/2/12,5.2,-0.4,4.94%,383.17,0.05,-0.05,139.00,2020/2/13,1,4.03,139.00,2020/2/13,1,4.03,139.0003052,2020/2/13,1,4.030774708
71,688081,兴图新科,2020/1/31,20200106,75.65,28.21,2020/1/6,5.4,0.1,3.79%,86.92,0.02,0.03,54.69,2020/1/8,2,0.94,57.42,2020/1/22,16,1.04,57.41506577,2020/1/22,16,1.035273512
72,688082,盛美上海,2021/11/30,20211118,72.49,85,2021/11/18,2.3,12.9,20.50%,52.65,-0.03,0.10,137.90,2021/11/22,4,0.62,137.90,2021/11/22,4,0.62,137.8999939,2021/11/22,4,0.622352869
73,688083,中望软件,2021/3/31,20210311,71.28,150.5,2021/3/11,0.4,4.4,-1.36%,171.76,0.10,-0.11,318.62,2021/3/12,1,1.12,336.22,2021/4/6,26,1.23,436.6785889,2021/5/31,81,1.901518863
74,688084,晶品特装,2022/12/31,20221208,66.82,60.98,2022/12/8,1.8,-0.7,-4.43%,44.47,0.02,0.08,98.99,2022/12/14,6,0.62,98.99,2022/12/14,6,0.62,98.98999786,2022/12/14,6,0.623319086
75,688085,三友医疗,2020/4/30,20200409,71.29,20.96,2020/4/9,3.3,-3.1,6.01%,71.76,0.17,-0.02,37.79,2020/4/10,1,0.80,45.36,2020/5/6,27,1.16,71.08631897,2020/6/30,82,2.391522852
76,688086,*ST紫晶,2020/2/29,20200226,69.43,21.49,2020/2/26,5.2,-0.4,3.57%,264.08,-0.11,-0.03,77.50,2020/2/26,0,2.61,77.50,2020/2/26,0,2.61,77.50177765,2020/2/26,0,2.606411245
77,688087,英科再生,2021/7/31,20210709,76.61,21.96,2021/7/9,1,9,1.21%,255.28,0.12,0.23,114.73,2021/7/14,5,4.22,118.67,2021/7/21,12,4.40,118.673317,2021/7/21,12,4.404067257
78,688088,虹软科技,2019/7/31,20190722,79.57,28.88,2019/7/22,2.8,-0.3,-2.19%,126.97,-0.10,0.05,64.61,2019/7/22,0,1.24,84.64,2019/8/5,14,1.93,84.63977814,2019/8/5,14,1.93074024
80,688090,瑞松科技,2020/2/29,20200217,75.69,27.55,2020/2/17,5.2,-0.4,6.16%,263.01,-0.07,0.00,98.46,2020/2/17,0,2.57,98.46,2020/2/17,0,2.57,98.46496582,2020/2/17,0,2.574045946
81,688091,上海谊众,2021/9/30,20210909,68.28,38.1,2021/9/9,0.7,10.7,2.19%,28.58,-0.15,-0.05,32.64,2021/9/9,0,-0.14,32.64,2021/9/9,0,-0.14,36.26697922,2021/11/23,75,-0.048110782
82,688092,爱科科技,2021/3/31,20210319,85.34,19.11,2021/3/19,0.4,4.4,1.83%,128.21,-0.05,-0.11,42.80,2021/3/19,0,1.24,42.80,2021/3/19,0,1.24,42.79615402,2021/3/19,0,1.239463842
83,688093,世华科技,2020/9/30,20200930,66.82,17.55,2020/9/30,1.7,-2.1,-6.93%,62.22,-0.04,0.01,20.09,2020/9/30,0,0.14,20.11,2020/10/13,13,0.15,21.04903984,2020/11/20,51,0.199375489
84,688095,福昕软件,2020/9/30,20200908,67.53,238.53,2020/9/8,1.7,-2.1,-6.71%,29.66,0.06,-0.05,253.31,2020/9/11,3,0.06,257.32,2020/9/18,10,0.08,257.3194885,2020/9/18,10,0.078772014
85,688096,京源环保,2020/4/30,20200409,72.48,14.34,2020/4/9,3.3,-3.1,2.49%,102.58,-0.06,-0.04,27.75,2020/4/9,0,0.93,27.75,2020/4/9,0,0.93,27.74784088,2020/4/9,0,0.934995877
86,688097,博众精工,2021/5/31,20210512,73.45,11.27,2021/5/12,1.3,9,10.53%,85.27,0.14,0.04,25.21,2021/5/18,6,1.24,37.00,2021/6/1,20,2.28,43.08000183,2021/8/4,84,2.822537873
87,688098,申联生物,2019/10/31,20191028,85.1,8.8,2019/10/28,3.8,-1.6,5.13%,318.3,-0.27,-0.17,36.00,2019/10/28,0,3.09,36.00,2019/10/28,0,3.09,36.00181198,2019/10/28,0,3.091114998
88,688099,晶晨股份,2019/8/31,20190808,75.13,38.5,2019/8/8,2.8,-0.8,4.18%,272.36,0.05,-0.12,149.67,2019/8/9,1,2.89,149.67,2019/8/9,1,2.89,149.6746674,2019/8/9,1,2.887653698
89,688100,威胜信息,2020/1/31,20200121,73.07,13.78,2020/1/21,5.4,0.1,1.11%,192.45,-0.12,-0.07,38.75,2020/1/21,0,1.81,38.75,2020/1/21,0,1.81,38.75447464,2020/1/21,0,1.812371164
90,688101,三达膜,2019/11/30,20191115,67.15,18.26,2019/11/15,4.5,-1.4,-4.13%,48.96,-0.15,0.01,26.14,2019/11/15,0,0.43,26.14,2019/11/15,0,0.43,26.13697624,2019/11/15,0,0.431378765
91,688102,斯瑞新材,2022/3/31,20220316,75.12,10.48,2022/3/16,1.5,8.3,-13.55%,90.08,-0.17,-0.10,19.80,2022/3/16,0,0.89,19.80,2022/3/16,0,0.89,19.79646492,2022/3/16,0,0.88897566
92,688103,国力股份,2021/9/30,20210910,88.3,12.04,2021/9/10,0.7,10.7,-2.75%,516.28,0.08,-0.10,79.48,2021/9/13,3,5.60,79.48,2021/9/13,3,5.60,80.60326385,2021/11/29,80,5.694623244
93,688105,诺唯赞,2021/11/30,20211115,71.05,55,2021/11/15,2.3,12.9,9.01%,55.18,0.11,0.02,99.87,2021/11/19,4,0.82,118.58,2021/12/9,24,1.16,124.657814,2021/12/22,37,1.26650571
94,688106,金宏气体,2020/6/30,20200616,69.84,15.48,2020/6/16,2.5,-3,13.97%,151.49,0.00,0.00,39.06,2020/6/22,6,1.52,55.11,2020/7/9,23,2.56,55.10916901,2020/7/9,23,2.560023838
95,688107,安路科技,2021/11/30,20211112,77.24,26,2021/11/12,2.3,12.9,20.50%,170.19,-0.04,-0.07,82.34,2021/11/18,6,2.17,98.28,2021/11/23,11,2.78,98.27999878,2021/11/23,11,2.779999953
96,688108,赛诺医疗,2019/10/31,20191030,83.07,6.99,2019/10/30,3.8,-1.6,2.53%,217.74,-0.15,0.03,22.13,2019/10/30,0,2.17,22.13,2019/10/30,0,2.17,22.13450623,2019/10/30,0,2.166596027
97,688109,品茗科技,2021/3/31,20210330,70.1,50.05,2021/3/30,0.4,4.4,-1.36%,78.82,-0.14,0.02,86.64,2021/3/30,0,0.73,86.64,2021/3/30,0,0.73,86.63821411,2021/3/30,0,0.731033249
99,688111,金山办公,2019/11/30,20191118,63.5,45.86,2019/11/18,4.5,-1.4,-3.40%,175.51,0.08,0.08,146.31,2019/11/20,2,2.19,165.99,2019/12/16,28,2.62,243.5223694,2020/2/7,81,4.310125804
100,688112,鼎阳科技,2021/12/31,20211201,78.42,46.6,2021/12/1,1.5,10.3,1.02%,128.22,0.00,-0.02,109.61,2021/12/6,5,1.35,114.86,2021/12/8,7,1.46,114.8569183,2021/12/8,7,1.464740737
