序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,Max_Close_7,Max_Date_7,天数_7,收益率_7,Max_Close_30,Max_Date_30,天数_30,收益率_30,Max_Close_90,Max_Date_90,天数_90,收益率_90
101,688113,联测科技,2021/5/31,20210506,73.75,19.14,2021/5/6,1.3,9,6.91%,251.93,-0.13,0.13,72.71,2021/5/11,5,2.80,72.71,2021/5/11,5,2.80,76.14994812,2021/8/3,89,2.978576182
102,688114,华大智造,2022/9/30,20220909,70.17,87.18,2022/9/9,2.8,0.9,-2.47%,14.71,0.09,0.13,124.00,2022/9/14,5,0.42,124.00,2022/9/14,5,0.42,140.6199951,2022/11/3,55,0.612984573
103,688115,思林杰,2022/3/31,20220314,44.15,65.65,2022/3/14,1.5,8.3,-9.13%,-23.67,-0.08,-0.01,49.56,2022/3/14,0,-0.25,49.56,2022/3/14,0,-0.25,49.56121826,2022/3/14,0,-0.245069029
104,688116,天奈科技,2019/9/30,20190925,75.02,16,2019/9/25,3,-1.2,2.80%,221.19,-0.14,-0.02,51.21,2019/9/25,0,2.20,51.21,2019/9/25,0,2.20,51.2142868,2019/9/25,0,2.200892925
105,688117,圣诺生物,2021/6/30,20210603,73.92,17.9,2021/6/3,1.1,8.8,-1.24%,265.98,0.02,-0.12,66.12,2021/6/4,1,2.69,66.12,2021/6/4,1,2.69,66.12388611,2021/6/4,1,2.69407185
106,688118,普元信息,2019/12/31,20191204,83.72,26.9,2019/12/4,4.5,-0.5,9.54%,60.78,-0.09,-0.07,41.34,2019/12/4,0,0.54,46.79,2019/12/18,14,0.74,55.90175247,2020/2/17,75,1.078132062
107,688119,中钢洛耐,2022/6/30,20220606,77.72,5.06,2022/6/6,2.5,6.1,8.34%,150.59,-0.19,0.01,12.68,2022/6/6,0,1.51,12.68,2022/6/6,0,1.51,12.68000031,2022/6/6,0,1.505928914
108,688120,华海清科,2022/6/30,20220608,64.9,136.66,2022/6/8,2.5,6.1,12.19%,63.98,0.01,0.05,238.50,2022/6/10,2,0.75,275.31,2022/7/7,29,1.01,346.8399963,2022/8/29,82,1.537977436
109,688121,卓然股份,2021/9/30,20210906,75.39,18.16,2021/9/6,0.7,10.7,-6.22%,116.02,0.04,0.13,46.28,2021/9/8,2,1.55,46.70,2021/9/13,7,1.57,46.70000076,2021/9/13,7,1.571585945
110,688122,西部超导,2019/7/31,20190722,83.4,15,2019/7/22,2.8,-0.3,3.92%,266.6,-0.16,0.06,53.65,2019/7/22,0,2.58,64.20,2019/8/5,14,3.28,64.19593811,2019/8/5,14,3.279729207
111,688123,聚辰股份,2019/12/31,20191223,73.2,33.25,2019/12/23,4.5,-0.5,13.40%,139.19,0.01,0.04,82.28,2019/12/25,2,1.47,85.81,2020/1/17,25,1.58,100.4689865,2020/2/18,57,2.021623654
112,688125,安达智能,2022/4/30,20220415,49.41,60.55,2022/4/15,2.1,8,-18.61%,-23.25,-0.03,-0.06,45.39,2022/4/15,0,-0.25,45.39,2022/4/15,0,-0.25,54.5,2022/7/13,89,-0.099917424
113,688126,沪硅产业,2020/4/30,20200420,71.14,3.89,2020/4/20,3.3,-3.1,11.52%,180.46,-0.05,0.14,11.80,2020/4/22,2,2.03,22.70,2020/5/19,29,4.84,63.90000153,2020/7/14,85,15.42673561
114,688127,蓝特光学,2020/9/30,20200921,80.85,15.41,2020/9/21,1.7,-2.1,-6.55%,126.02,-0.07,0.04,34.40,2020/9/21,0,1.23,34.40,2020/9/21,0,1.23,34.57109451,2020/11/16,56,1.243419501
115,688128,中国电研,2019/11/30,20191105,81.34,18.79,2019/11/5,4.5,-1.4,-3.78%,43.27,-0.19,0.06,25.68,2019/11/5,0,0.37,25.68,2019/11/5,0,0.37,25.68314362,2019/11/5,0,0.366851709
116,688129,东来技术,2020/10/31,20201023,72.25,15.22,2020/10/23,0.5,-2.1,-1.71%,123.39,-0.18,0.01,33.09,2020/10/23,0,1.17,33.09,2020/10/23,0,1.17,33.08533096,2020/10/23,0,1.173806239
117,688130,晶华微,2022/7/31,20220729,52.55,62.98,2022/7/29,2.7,4.2,-2.15%,-7.67,0.03,-0.04,63.65,2022/8/4,6,0.01,68.90,2022/8/5,7,0.09,68.90000153,2022/8/5,7,0.093998119
118,688131,皓元医药,2021/6/30,20210608,71.59,64.99,2021/6/8,1.1,8.8,2.58%,382.27,0.10,-0.02,246.08,2021/6/9,1,2.79,270.96,2021/6/22,14,3.17,293.7197876,2021/8/19,72,3.519461265
119,688132,邦彦技术,2022/9/30,20220923,48.41,28.88,2022/9/23,2.8,0.9,-6.44%,-15.17,-0.10,0.00,24.50,2022/9/23,0,-0.15,24.50,2022/9/23,0,-0.15,29.97999954,2022/11/21,59,0.038088627
120,688133,泰坦科技,2020/10/31,20201030,82.02,44.47,2020/10/30,0.5,-2.1,-1.71%,48.55,-0.07,-0.03,69.78,2020/11/4,5,0.57,127.59,2020/11/25,26,1.87,141.410202,2020/12/23,54,2.179901102
121,688135,利扬芯片,2020/11/30,20201111,77.18,15.72,2020/11/11,-0.5,-1.5,7.85%,297.77,-0.08,0.01,69.38,2020/11/17,6,3.41,69.38,2020/11/17,6,3.41,69.37510681,2020/11/17,6,3.413174734
122,688136,科兴制药,2020/12/31,20201214,66.93,22.33,2020/12/14,0.2,-0.4,-1.41%,83.65,0.28,-0.11,52.32,2020/12/15,1,1.34,52.32,2020/12/15,1,1.34,52.32383728,2020/12/15,1,1.343208118
123,688137,近岸蛋白,2022/9/30,20220929,41.34,106.19,2022/9/29,2.8,0.9,-7.96%,-28.89,0.00,-0.11,75.51,2022/9/29,0,-0.29,85.02,2022/10/26,27,-0.20,118,2022/11/29,61,0.111215745
124,688138,清溢光电,2019/11/30,20191120,74.85,8.78,2019/11/20,4.5,-1.4,-0.22%,122.67,-0.17,0.00,19.33,2019/11/20,0,1.20,19.33,2019/11/20,0,1.20,24.28703308,2020/2/17,89,1.766176889
125,688139,海尔生物,2019/10/31,20191025,69.31,15.53,2019/10/25,3.8,-1.6,2.53%,96.2,0.28,-0.11,38.33,2019/10/28,3,1.47,38.33,2019/10/28,3,1.47,38.32666016,2019/10/28,3,1.46791115
126,688141,杰华特,2022/12/31,20221223,72.26,38.26,2022/12/23,1.8,-0.7,-6.31%,32.62,0.04,0.00,52.80,2022/12/27,4,0.38,55.78,2023/1/17,25,0.46,57.5,2023/2/9,48,0.502875065
127,688143,长盈通,2022/12/31,20221212,71.06,35.67,2022/12/12,1.8,-0.7,-7.08%,37.4,0.01,-0.07,49.74,2022/12/13,1,0.39,52.90,2023/1/4,23,0.48,55.20000076,2023/2/6,56,0.547518945
128,688146,中船特气,2023/4/30,20230421,74.24,36.15,2023/4/21,0.5,-3.1,-1.97%,35.8,0.04,-0.11,51.00,2023/4/24,3,0.41,53.11,2023/4/28,7,0.47,53.11000061,2023/4/28,7,0.46915631
129,688147,微导纳米,2022/12/31,20221223,66.99,24.21,2022/12/23,1.8,-0.7,-6.18%,13.38,0.01,0.00,27.81,2022/12/26,3,0.15,32.50,2023/1/19,27,0.34,40.49000168,2023/2/7,46,0.67244947
130,688148,芳源股份,2021/8/31,20210806,80.17,4.58,2021/8/6,0.8,9.5,10.26%,659.83,0.09,-0.09,37.63,2021/8/9,3,7.22,37.63,2021/8/9,3,7.22,37.62560272,2021/8/9,3,7.215197101
131,688150,莱特光电,2022/3/31,20220318,55.14,22.05,2022/3/18,1.5,8.3,-6.94%,-13.83,0.01,-0.05,19.34,2022/3/23,5,-0.12,19.34,2022/3/23,5,-0.12,36.23418808,2022/6/7,81,0.643273836
132,688151,华强科技,2021/12/31,20211206,70.33,35.09,2021/12/6,1.5,10.3,1.68%,24.25,-0.13,0.02,42.98,2021/12/6,0,0.22,42.98,2021/12/6,0,0.22,42.981884,2021/12/6,0,0.224904075
133,688152,麒麟信安,2022/10/31,20221028,77.07,68.89,2022/10/28,2.1,-1.3,21.46%,212.38,0.06,-0.04,230.00,2022/11/2,5,2.34,231.79,2022/11/7,10,2.36,231.7899933,2022/11/7,10,2.364639183
134,688153,唯捷创芯,2022/4/30,20220412,46.85,66.6,2022/4/12,2.1,8,-17.40%,-36.04,0.13,0.16,56.72,2022/4/18,6,-0.15,56.72,2022/4/18,6,-0.15,56.72000122,2022/4/18,6,-0.14834833
135,688155,先惠技术,2020/8/31,20200811,72.22,38.77,2020/8/11,2.4,-2,5.11%,111.53,-0.16,-0.02,81.51,2020/8/11,0,1.10,81.51,2020/8/11,0,1.10,88.62159729,2020/11/6,87,1.28582918
136,688156,路德环境,2020/9/30,20200922,74.15,15.91,2020/9/22,1.7,-2.1,-8.66%,84.16,-0.06,-0.02,28.58,2020/9/22,0,0.80,28.58,2020/9/22,0,0.80,28.58124733,2020/9/22,0,0.796432893
137,688157,松井股份,2020/6/30,20200609,79.81,34.48,2020/6/9,2.5,-3,2.05%,166.82,-0.07,0.11,95.68,2020/6/12,3,1.78,117.18,2020/6/22,13,2.40,117.1822739,2020/6/22,13,2.398557827
138,688158,优刻得,2020/1/31,20200120,71.82,33.23,2020/1/20,5.4,0.1,7.06%,119.53,-0.06,-0.03,72.89,2020/1/20,0,1.19,114.91,2020/2/18,29,2.46,114.9092026,2020/2/18,29,2.457995864
139,688159,有方科技,2020/1/31,20200123,67.64,20.35,2020/1/23,5.4,0.1,1.11%,178.18,-0.20,0.59,56.53,2020/1/23,0,1.78,75.69,2020/2/17,25,2.72,84.40364838,2020/3/2,39,3.147599429
140,688160,步科股份,2020/11/30,20201112,74.6,20.34,2020/11/12,-0.5,-1.5,1.69%,180.48,-0.03,0.28,72.57,2020/11/17,5,2.57,72.57,2020/11/17,5,2.57,72.56761169,2020/11/17,5,2.567729189
141,688161,威高骨科,2021/6/30,20210630,71.95,36.22,2021/6/30,1.1,8.8,-1.05%,192.79,0.01,-0.11,105.87,2021/7/1,1,1.92,105.87,2021/7/1,1,1.92,105.8705978,2021/7/1,1,1.92298724
142,688162,巨一科技,2021/11/30,20211110,85.73,46,2021/11/10,2.3,12.9,14.83%,94.57,0.01,0.16,104.47,2021/11/12,2,1.27,125.86,2021/11/30,20,1.74,125.8648529,2021/11/30,20,1.736192454
143,688163,赛伦生物,2022/3/31,20220311,71.35,33.03,2022/3/11,1.5,8.3,-4.48%,67.42,-0.08,-0.17,53.52,2022/3/11,0,0.62,53.52,2022/3/11,0,0.62,53.52249908,2022/3/11,0,0.620420802
144,688165,埃夫特,2020/7/31,20200715,70.93,6.35,2020/7/15,2.7,-2.4,14.57%,387.87,-0.06,-0.24,30.98,2020/7/15,0,3.88,30.98,2020/7/15,0,3.88,30.97999954,2020/7/15,0,3.878740085
145,688166,博瑞医药,2019/11/30,20191108,70.87,12.71,2019/11/8,4.5,-1.4,-0.56%,140.83,0.06,-0.13,32.11,2019/11/11,3,1.53,32.11,2019/11/11,3,1.53,44.55252075,2020/2/5,89,2.505312412
146,688167,炬光科技,2021/12/31,20211224,74.52,78.69,2021/12/24,1.5,10.3,-4.28%,145.14,-0.06,0.08,213.55,2021/12/30,6,1.71,219.00,2021/12/31,7,1.78,219,2021/12/31,7,1.783072817
147,688168,安博通,2019/9/30,20190906,73.03,56.88,2019/9/6,3,-1.2,5.06%,216.53,-0.03,-0.05,126.58,2019/9/6,0,1.23,126.58,2019/9/6,0,1.23,126.576683,2019/9/6,0,1.225328464
148,688169,石头科技,2020/2/29,20200221,72.68,271.12,2020/2/21,5.2,-0.4,2.68%,84.46,-0.08,0.02,352.98,2020/2/21,0,0.30,352.98,2020/2/21,0,0.30,352.9802551,2020/2/21,0,0.301933665
149,688170,德龙激光,2022/4/30,20220429,44.86,30.18,2022/4/29,2.1,8,-18.61%,-2.25,-0.06,-0.02,29.18,2022/4/29,0,-0.03,30.62,2022/5/11,12,0.01,56.32681656,2022/7/11,73,0.866362378
150,688171,纬德信息,2022/1/31,20220127,70.36,28.68,2022/1/27,0.9,9.1,-4.62%,23.57,-0.19,0.02,35.13,2022/1/27,0,0.22,35.13,2022/1/27,0,0.22,36.57431793,2022/3/2,34,0.275255158
151,688172,燕东微,2022/12/31,20221216,60.82,21.98,2022/12/16,1.8,-0.7,-6.31%,4.69,-0.11,0.00,23.01,2022/12/16,0,0.05,23.01,2022/12/16,0,0.05,23.5,2023/2/2,48,0.069153776
152,688173,希荻微,2022/1/31,20220121,78.22,33.57,2022/1/21,0.9,9.1,-14.96%,31.22,-0.22,-0.04,44.05,2022/1/21,0,0.31,44.05,2022/1/21,0,0.31,44.04999924,2022/1/21,0,0.312183474
153,688175,高凌信息,2022/3/31,20220315,53.41,51.68,2022/3/15,1.5,8.3,-12.42%,-10.99,0.01,-0.01,47.17,2022/3/21,6,-0.09,47.17,2022/3/21,6,-0.09,47.16728973,2022/3/21,6,-0.087320245
154,688176,亚虹医药,2022/1/31,20220107,48.53,22.98,2022/1/7,0.9,9.1,-10.00%,-23.41,0.03,-0.03,18.07,2022/1/10,3,-0.21,18.07,2022/1/10,3,-0.21,18.06999969,2022/1/10,3,-0.213664069
155,688177,百奥泰,2020/2/29,20200221,63.9,32.76,2020/2/21,5.2,-0.4,2.32%,83.76,0.01,0.02,62.01,2020/2/25,4,0.89,62.88,2020/3/9,17,0.92,62.88000107,2020/3/9,17,0.919413952
156,688178,万德斯,2020/1/31,20200114,73.97,25.2,2020/1/14,5.4,0.1,0.13%,102.9,-0.05,0.07,52.39,2020/1/17,3,1.08,53.28,2020/2/7,24,1.11,53.2840004,2020/2/7,24,1.11444446
157,688179,阿拉丁,2020/10/31,20201026,70.31,19.43,2020/10/26,0.5,-2.1,-1.71%,131.91,0.01,-0.08,32.09,2020/10/27,1,0.65,51.48,2020/11/20,25,1.65,59.46652985,2021/1/22,88,2.060552231
158,688180,君实生物,2020/7/31,20200715,62.06,55.5,2020/7/15,2.7,-2.4,22.48%,172.07,-0.16,-0.08,151.00,2020/7/15,0,1.72,151.00,2020/7/15,0,1.72,151,2020/7/15,0,1.720720721
159,688181,八亿时空,2020/1/31,20200106,69.43,43.98,2020/1/6,5.4,0.1,2.77%,39.36,-0.02,0.03,61.02,2020/1/8,2,0.39,63.85,2020/1/17,11,0.45,63.85486603,2020/1/17,11,0.451906913
160,688182,灿勤科技,2021/11/30,20211116,83.32,10.5,2021/11/16,2.3,12.9,16.29%,85.71,0.26,0.03,27.19,2021/11/22,6,1.59,30.27,2021/11/24,8,1.88,30.26986885,2021/11/24,8,1.882844652
161,688183,生益电子,2021/2/28,20210225,75.39,12.42,2021/2/25,-0.2,1.7,-1.18%,72.62,-0.02,-0.06,20.61,2021/2/25,0,0.66,20.61,2021/2/25,0,0.66,20.60918808,2021/2/25,0,0.659354918
162,688184,帕瓦股份,2022/9/30,20220919,52.85,51.88,2022/9/19,2.8,0.9,-11.28%,-21.76,0.04,-0.02,42.13,2022/9/22,3,-0.19,42.13,2022/9/22,3,-0.19,42.13000107,2022/9/22,3,-0.187933673
163,688185,康希诺,2020/8/31,20200813,69.53,209.71,2020/8/13,2.4,-2,-11.21%,87.45,-0.11,0.04,391.08,2020/8/13,0,0.86,391.08,2020/8/13,0,0.86,431.7357788,2020/10/21,69,1.058727666
164,688186,广大特材,2020/2/29,20200211,73.76,17.16,2020/2/11,5.2,-0.4,-4.54%,210.2,0.02,-0.10,52.34,2020/2/12,1,2.05,52.34,2020/2/12,1,2.05,52.33724594,2020/2/12,1,2.049956057
165,688187,时代电气,2021/9/30,20210907,64.63,31.38,2021/9/7,0.7,10.7,-4.83%,83.24,-0.10,0.02,56.76,2021/9/7,0,0.81,56.76,2021/9/7,0,0.81,86.93369293,2021/11/30,84,1.770353503
166,688188,柏楚电子,2019/8/31,20190808,72.47,68.58,2019/8/8,2.8,-0.8,-1.52%,255.61,-0.01,-0.13,171.14,2019/8/8,0,1.50,171.14,2019/8/8,0,1.50,171.1384735,2019/8/8,0,1.495457473
167,688189,南新制药,2020/3/31,20200326,64.29,34.94,2020/3/26,4.3,-1.5,-0.78%,86.29,-0.15,-0.12,46.13,2020/3/26,0,0.32,46.13,2020/3/26,0,0.32,46.12640762,2020/3/26,0,0.320160493
168,688190,云路股份,2021/11/30,20211126,77.07,46.63,2021/11/26,2.3,12.9,34.98%,182.22,0.09,-0.05,143.34,2021/11/29,3,2.07,143.34,2021/11/29,3,2.07,143.3368683,2021/11/29,3,2.073919543
169,688191,智洋创新,2021/4/30,20210408,71.6,11.38,2021/4/8,0.9,6.8,-1.42%,116.61,-0.13,-0.07,24.21,2021/4/8,0,1.13,24.21,2021/4/8,0,1.13,24.20554543,2021/4/8,0,1.127025081
170,688192,迪哲医药,2021/12/31,20211210,53.6,52.58,2021/12/10,1.5,10.3,6.91%,-21.83,-0.02,0.01,41.10,2021/12/10,0,-0.22,41.10,2021/12/10,0,-0.22,41.09999847,2021/12/10,0,-0.218333996
171,688193,仁度生物,2022/3/31,20220330,62.92,72.65,2022/3/30,1.5,8.3,-4.28%,-10.86,-0.02,-0.05,64.76,2022/3/30,0,-0.11,64.76,2022/3/30,0,-0.11,64.76000214,2022/3/30,0,-0.108602861
172,688195,腾景科技,2021/3/31,20210326,68.6,13.6,2021/3/26,0.4,4.4,0.65%,54.78,-0.08,-0.01,20.67,2021/3/26,0,0.52,27.74,2021/4/20,25,1.04,27.74482918,2021/4/20,25,1.040060969
173,688196,卓越新能,2019/11/30,20191121,72.45,42.93,2019/11/21,4.5,-1.4,-4.13%,18.5,-0.11,-0.09,48.14,2019/11/21,0,0.12,48.14,2019/11/21,0,0.12,48.13547134,2019/11/21,0,0.121254865
174,688197,首药控股,2022/3/31,20220323,42.33,39.9,2022/3/23,1.5,8.3,3.49%,-19.52,-0.04,-0.07,32.11,2022/3/23,0,-0.20,32.11,2022/3/23,0,-0.20,32.11000061,2022/3/23,0,-0.19523808
175,688198,佰仁医疗,2019/12/31,20191209,78.28,23.68,2019/12/9,4.5,-0.5,4.47%,49.41,0.13,-0.14,28.25,2019/12/10,1,0.19,31.32,2019/12/24,15,0.32,40.23039246,2020/1/22,44,0.6989186
176,688199,久日新材,2019/11/30,20191105,69.38,66.68,2019/11/5,4.5,-1.4,-4.13%,6.42,-0.06,0.02,68.30,2019/11/5,0,0.02,68.30,2019/11/5,0,0.02,68.30251312,2019/11/5,0,0.02433283
177,688200,华峰测控,2020/2/29,20200218,73.08,107.41,2020/2/18,5.2,-0.4,6.87%,216.55,-0.04,-0.06,227.57,2020/2/18,0,1.12,227.57,2020/2/18,0,1.12,227.5661926,2020/2/18,0,1.118668584
178,688201,信安世纪,2021/4/30,20210421,70,26.78,2021/4/21,0.9,6.8,-3.39%,53.73,-0.05,0.09,28.12,2021/4/26,5,0.05,42.00,2021/5/19,28,0.57,43.94498825,2021/7/13,83,0.640962967
179,688202,美迪西,2019/11/30,20191105,77.52,41.5,2019/11/5,4.5,-1.4,-3.90%,71.08,-0.07,0.04,50.39,2019/11/5,0,0.21,50.39,2019/11/5,0,0.21,50.38505554,2019/11/5,0,0.214097724
180,688203,海正生材,2022/8/31,20220816,71.29,16.68,2022/8/16,2.5,2.3,-3.76%,25,-0.10,0.06,20.75,2022/8/16,0,0.24,20.75,2022/8/16,0,0.24,20.75224304,2022/8/16,0,0.244139271
181,688205,德科立,2022/8/31,20220809,66.59,48.51,2022/8/9,2.5,2.3,-2.13%,25.79,-0.08,0.04,61.02,2022/8/9,0,0.26,61.02,2022/8/9,0,0.26,61.02000046,2022/8/9,0,0.257884982
182,688206,概伦电子,2021/12/31,20211228,78.37,28.28,2021/12/28,1.5,10.3,3.25%,51.03,-0.10,-0.01,42.68,2021/12/28,0,0.51,42.68,2021/12/28,0,0.51,42.68294907,2021/12/28,0,0.509298058
183,688207,格灵深瞳,2022/3/31,20220317,64.14,39.49,2022/3/17,1.5,8.3,-9.65%,-5.14,-0.07,0.06,37.46,2022/3/17,0,-0.05,37.46,2022/3/17,0,-0.05,37.45999908,2022/3/17,0,-0.051405442
184,688208,道通科技,2020/2/29,20200213,72.27,24.36,2020/2/13,5.2,-0.4,3.57%,204.19,-0.11,0.01,72.72,2020/2/13,0,1.99,72.72,2020/2/13,0,1.99,72.72290039,2020/2/13,0,1.985340739
185,688209,英集芯,2022/4/30,20220419,62.06,24.23,2022/4/19,2.1,8,-17.40%,-9.7,0.05,0.01,23.06,2022/4/21,2,-0.05,23.06,2022/4/21,2,-0.05,30.55167007,2022/6/30,72,0.260902603
187,688211,中科微至,2021/10/31,20211026,47.34,90.2,2021/10/26,1.5,13.5,-0.35%,-12.63,0.00,-0.01,77.81,2021/10/27,1,-0.14,81.75,2021/11/11,16,-0.09,81.74968719,2021/11/11,16,-0.093684177
188,688212,澳华内镜,2021/11/30,20211115,85.21,22.5,2021/11/15,2.3,12.9,15.02%,71.16,-0.10,0.01,38.37,2021/11/15,0,0.71,40.02,2021/11/26,11,0.78,44.84063339,2022/1/10,56,0.99291704
189,688213,思特威,2022/5/31,20220520,78.41,31.51,2022/5/20,2.1,6.4,11.84%,79.82,-0.05,-0.10,56.66,2022/5/20,0,0.80,56.66,2022/5/20,0,0.80,65.15000153,2022/8/5,77,1.067597636
190,688215,瑞晟智能,2020/8/31,20200828,78.34,34.73,2020/8/28,2.4,-2,5.15%,160.32,-0.19,-0.02,89.62,2020/8/28,0,1.58,89.62,2020/8/28,0,1.58,89.616745,2020/8/28,0,1.58038425
191,688216,气派科技,2021/6/30,20210623,85.68,14.82,2021/6/23,1.1,8.8,21.34%,386.64,-0.15,0.04,70.83,2021/6/23,0,3.78,72.22,2021/7/8,15,3.87,72.21808624,2021/7/8,15,3.873015266
192,688217,睿昂基因,2021/5/31,20210517,83.4,18.42,2021/5/17,1.3,9,9.23%,477.74,-0.04,0.07,122.42,2021/5/20,3,5.65,131.68,2021/6/1,15,6.15,131.6799927,2021/6/1,15,6.14875096
193,688218,江苏北人,2019/12/31,20191211,77.4,17.36,2019/12/11,4.5,-0.5,12.93%,84.74,-0.10,-0.03,31.58,2019/12/11,0,0.82,31.58,2019/12/11,0,0.82,36.24245071,2020/2/13,64,1.087698774
194,688219,会通股份,2020/11/30,20201118,83.49,8.29,2020/11/18,-0.5,-1.5,5.56%,373.46,-0.10,-0.02,38.97,2020/11/18,0,3.70,38.97,2020/11/18,0,3.70,38.96815872,2020/11/18,0,3.700622282
195,688220,翱捷科技,2022/1/31,20220114,53.09,164.54,2022/1/14,0.9,9.1,-14.96%,-33.75,-0.03,0.01,109.00,2022/1/14,0,-0.34,109.00,2022/1/14,0,-0.34,109,2022/1/14,0,-0.337547101
196,688221,前沿生物,2020/10/31,20201028,65.62,20.5,2020/10/28,0.5,-2.1,-1.62%,45.9,-0.15,-0.01,29.91,2020/10/28,0,0.46,29.91,2020/10/28,0,0.46,29.90999985,2020/10/28,0,0.459024383
197,688222,成都先导,2020/4/30,20200416,75.1,20.52,2020/4/16,3.3,-3.1,1.22%,129.43,-0.15,-0.01,46.74,2020/4/16,0,1.28,46.74,2020/4/16,0,1.28,59.71947479,2020/7/13,88,1.910305789
198,688223,晶科能源,2022/1/31,20220126,66.73,5,2022/1/26,0.9,9.1,-12.71%,111,-0.04,0.03,10.53,2022/1/26,0,1.11,11.63,2022/2/22,27,1.33,12.8800869,2022/3/10,43,1.57601738
